index,stem,choices,gold_label,model_reply,extracted_key,predicted_label,correct
0,A entellus and a basset are both a type of [MASK] ,mammal | primate | dog,0,C),C,2,0
1,A wapiti and a potto are both a type of [MASK] ,mammal | primate | deer,0,A) mammal,A,0,1
2,A hind and a lapin are both a type of [MASK] ,substance | mammal | deer,1,B) mammal,B,1,1
3,A pinscher and a capuchin are both a type of [MASK] ,mammal | dog | primate,0,A,A,0,1
4,A lapin and a basset are both a type of [MASK] ,substance | dog | mammal,2,C) mammal,C,2,1
5,A griffon and a elk are both a type of [MASK] ,deer | dog | mammal,2,C) mammal,C,2,1
6,A colobus and a malamute are both a type of [MASK] ,mammal | primate | dog,0,A) mammal,A,0,1
7,A patas and a sambar are both a type of [MASK] ,mammal | deer | primate,0,A) mammal,A,0,1
8,A guenon and a basset are both a type of [MASK] ,mammal | primate | dog,0,A) mammal,A,0,1
9,A great ape and a spitz are both a type of [MASK] ,primate | dog | mammal,2,C) mammal,C,2,1
10,A basset and a tamarin are both a type of [MASK] ,dog | primate | mammal,2,C) mammal,C,2,1
11,A tamarin and a malamute are both a type of [MASK] ,primate | dog | mammal,2,B) dog,B,1,0
12,A muskrat and a feist are both a type of [MASK] ,dog | mammal | substance,1,A) dog,A,0,0
13,A bloodhound and a rhesus are both a type of [MASK] ,dog | mammal | primate,1,A) dog,A,0,0
14,A capuchin and a ermine are both a type of [MASK] ,mammal | substance | primate,0,A) mammal,A,0,1
15,A rhesus and a schnauzer are both a type of [MASK] ,dog | primate | mammal,2,A) dog,A,0,0
16,A orangutan and a cur are both a type of [MASK] ,primate | mammal | dog,1,A) primate,A,0,0
17,A mandrill and a ermine are both a type of [MASK] ,mammal | primate | substance,0,A) mammal,A,0,1
18,A galago and a malamute are both a type of [MASK] ,mammal | primate | dog,0,A) mammal,A,0,1
19,A dachshund and a hominoid are both a type of [MASK] ,primate | dog | mammal,2,C) mammal,C,2,1
20,A spitz and a langur are both a type of [MASK] ,primate | mammal | dog,1,A) primate,A,0,0
21,A malamute and a vervet are both a type of [MASK] ,mammal | dog | primate,0,A) mammal,A,0,1
22,A prosimian and a sambar are both a type of [MASK] ,deer | primate | mammal,2,C) mammal,C,2,1
23,A sambar and a tarsier are both a type of [MASK] ,primate | mammal | deer,1,B) mammal,B,1,1
24,A langur and a cur are both a type of [MASK] ,dog | mammal | primate,1,C) primate,C,2,0
25,A papillon and a elk are both a type of [MASK] ,dog | deer | mammal,2,A) dog,A,0,0
26,A feist and a potto are both a type of [MASK] ,primate | dog | mammal,2,A) primate,A,0,0
27,A potto and a muntjac are both a type of [MASK] ,deer | primate | mammal,2,C) mammal,C,2,1
28,A simian and a whippet are both a type of [MASK] ,dog | primate | mammal,2,C) mammal,C,2,1
29,A australopithecine and a whippet are both a type of [MASK] ,primate | dog | mammal,2,C) mammal,C,2,1
30,A ermine and a cur are both a type of [MASK] ,mammal | dog | substance,0,A) mammal,A,0,1
31,A whippet and a anthropoid are both a type of [MASK] ,mammal | primate | dog,0,C) dog,C,2,0
32,A roan and a spaniel are both a type of [MASK] ,dog | substance | mammal,2,A) dog,A,0,0
33,A springer spaniel and a macaque are both a type of [MASK] ,primate | dog | mammal,2,B) dog,B,1,0
34,A cur and a pricket are both a type of [MASK] ,deer | mammal | dog,1,A) deer,A,0,0
