index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
<built-in function id>,A entellus and a basset are both a type of [MASK] ,mammal | primate | dog,0,C,C,2,0
<built-in function id>,A wapiti and a potto are both a type of [MASK] ,mammal | primate | deer,0,A,A,0,1
<built-in function id>,A hind and a lapin are both a type of [MASK] ,substance | mammal | deer,1,B,B,1,1
<built-in function id>,A pinscher and a capuchin are both a type of [MASK] ,mammal | dog | primate,0,A,A,0,1
<built-in function id>,A lapin and a basset are both a type of [MASK] ,substance | dog | mammal,2,C,C,2,1
<built-in function id>,A griffon and a elk are both a type of [MASK] ,deer | dog | mammal,2,C,C,2,1
<built-in function id>,A colobus and a malamute are both a type of [MASK] ,mammal | primate | dog,0,A,A,0,1
<built-in function id>,A patas and a sambar are both a type of [MASK] ,mammal | deer | primate,0,A,A,0,1
<built-in function id>,A guenon and a basset are both a type of [MASK] ,mammal | primate | dog,0,A,A,0,1
<built-in function id>,A great ape and a spitz are both a type of [MASK] ,primate | dog | mammal,2,C,C,2,1
<built-in function id>,A basset and a tamarin are both a type of [MASK] ,dog | primate | mammal,2,C,C,2,1
<built-in function id>,A tamarin and a malamute are both a type of [MASK] ,primate | dog | mammal,2,B,B,1,0
<built-in function id>,A muskrat and a feist are both a type of [MASK] ,dog | mammal | substance,1,A,A,0,0
<built-in function id>,A bloodhound and a rhesus are both a type of [MASK] ,dog | mammal | primate,1,A,A,0,0
<built-in function id>,A capuchin and a ermine are both a type of [MASK] ,mammal | substance | primate,0,A,A,0,1
<built-in function id>,A rhesus and a schnauzer are both a type of [MASK] ,dog | primate | mammal,2,A,A,0,0
<built-in function id>,A orangutan and a cur are both a type of [MASK] ,primate | mammal | dog,1,A,A,0,0
<built-in function id>,A mandrill and a ermine are both a type of [MASK] ,mammal | primate | substance,0,A,A,0,1
<built-in function id>,A galago and a malamute are both a type of [MASK] ,mammal | primate | dog,0,A,A,0,1
<built-in function id>,A dachshund and a hominoid are both a type of [MASK] ,primate | dog | mammal,2,C,C,2,1
<built-in function id>,A spitz and a langur are both a type of [MASK] ,primate | mammal | dog,1,A,A,0,0
<built-in function id>,A malamute and a vervet are both a type of [MASK] ,mammal | dog | primate,0,A,A,0,1
<built-in function id>,A prosimian and a sambar are both a type of [MASK] ,deer | primate | mammal,2,C,C,2,1
<built-in function id>,A sambar and a tarsier are both a type of [MASK] ,primate | mammal | deer,1,B,B,1,1
<built-in function id>,A langur and a cur are both a type of [MASK] ,dog | mammal | primate,1,C,C,2,0
<built-in function id>,A papillon and a elk are both a type of [MASK] ,dog | deer | mammal,2,A,A,0,0
<built-in function id>,A feist and a potto are both a type of [MASK] ,primate | dog | mammal,2,A,A,0,0
<built-in function id>,A potto and a muntjac are both a type of [MASK] ,deer | primate | mammal,2,C,C,2,1
<built-in function id>,A simian and a whippet are both a type of [MASK] ,dog | primate | mammal,2,C,C,2,1
<built-in function id>,A australopithecine and a whippet are both a type of [MASK] ,primate | dog | mammal,2,C,C,2,1
<built-in function id>,A ermine and a cur are both a type of [MASK] ,mammal | dog | substance,0,A,A,0,1
<built-in function id>,A whippet and a anthropoid are both a type of [MASK] ,mammal | primate | dog,0,C,C,2,0
<built-in function id>,A roan and a spaniel are both a type of [MASK] ,dog | substance | mammal,2,A,A,0,0
<built-in function id>,A springer spaniel and a macaque are both a type of [MASK] ,primate | dog | mammal,2,B,B,1,0
<built-in function id>,A cur and a pricket are both a type of [MASK] ,deer | mammal | dog,1,A,A,0,0
<built-in function id>,A vervet and a pooch are both a type of [MASK] ,dog | primate | mammal,2,C,C,2,1
<built-in function id>,A hominoid and a mastiff are both a type of [MASK] ,dog | primate | mammal,2,C,C,2,1
<built-in function id>,A brocket and a howler monkey are both a type of [MASK] ,mammal | deer | primate,0,C,C,2,0
<built-in function id>,A pooch and a anthropoid are both a type of [MASK] ,primate | mammal | dog,1,C,C,2,0
<built-in function id>,A cocker spaniel and a tarsier are both a type of [MASK] ,dog | mammal | primate,1,A,A,0,0
<built-in function id>,A setter and a anthropoid are both a type of [MASK] ,mammal | primate | dog,0,B,B,1,0
<built-in function id>,A borzoi and a marmoset are both a type of [MASK] ,primate | dog | mammal,2,C,C,2,1
<built-in function id>,A kelpie and a tarsier are both a type of [MASK] ,dog | primate | mammal,2,A,A,0,0
<built-in function id>,A anthropoid and a schnauzer are both a type of [MASK] ,mammal | dog | primate,0,B,B,1,0
<built-in function id>,A mastiff and a howler monkey are both a type of [MASK] ,mammal | dog | primate,0,A,A,0,1
<built-in function id>,A schnauzer and a howler monkey are both a type of [MASK] ,dog | primate | mammal,2,A,A,0,0
<built-in function id>,A dalmatian and a beef are both a type of [MASK] ,food | mammal | dog,1,C,C,2,0
<built-in function id>,A muntjac and a poodle are both a type of [MASK] ,deer | mammal | dog,1,C,C,2,0
<built-in function id>,A wolfhound and a homo are both a type of [MASK] ,dog | primate | mammal,2,A,A,0,0
<built-in function id>,A otter and a corgi are both a type of [MASK] ,mammal | substance | dog,0,A,A,0,1
<built-in function id>,A pricket and a poodle are both a type of [MASK] ,mammal | dog | deer,0,B,B,1,0
<built-in function id>,A macaque and a corgi are both a type of [MASK] ,primate | dog | mammal,2,C,C,2,1
<built-in function id>,A elk and a poodle are both a type of [MASK] ,dog | mammal | deer,1,A,A,0,0
<built-in function id>,A corgi and a raccoon are both a type of [MASK] ,mammal | dog | substance,0,A,A,0,1
<built-in function id>,A pug and a roebuck are both a type of [MASK] ,mammal | deer | dog,0,A,A,0,1
<built-in function id>,A tarsier and a collie are both a type of [MASK] ,dog | mammal | primate,1,B,B,1,1
<built-in function id>,A roebuck and a beef are both a type of [MASK] ,deer | mammal | meat,1,A,A,0,0
<built-in function id>,A foxhound and a caribou are both a type of [MASK] ,dog | mammal | deer,1,B,B,1,1
<built-in function id>,A poodle and a ape are both a type of [MASK] ,primate | dog | mammal,2,B,B,1,0
<built-in function id>,A drill and a caribou are both a type of [MASK] ,primate | mammal | deer,1,B,B,1,1
<built-in function id>,A hominid and a beef are both a type of [MASK] ,food | mammal | primate,1,C,C,2,0
