index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
<built-in function id>,what usually used for fun and is usually located at toy store,exercising | salesperson | chess set,2,C,C,2,1
<built-in function id>,what may cause sleep and usually used for entertainment,having rest | telling story | watching television show,2,C,C,2,1
<built-in function id>,what has a prerequisite of go to movie and has a prerequisite of open book,see story | watch film | read,0,C,C,2,0
<built-in function id>,what has a prerequisite of go to movies and has a prerequisite of open book,read | see story | see movie,1,C,C,2,0
<built-in function id>,what usually used for relaxation and usually used for feeling good,becoming inebriated | helping | bean bag chair,0,C,C,2,0
<built-in function id>,what has a prerequisite of open first and has a prerequisite of open window,breathe fresh air | jump out of window | read letter,1,C,C,2,0
<built-in function id>,what has a subevent of learn and has a prerequisite of paying attention,attending lecture | do philosophy | enjoying film,0,A,A,0,1
<built-in function id>,what has a prerequisite of get out of bed and has a subevent of drive,test car | wake up in morning | go to work,2,C,C,2,1
<built-in function id>,what has a prerequisite of get out of bed and is motivated by a goal of earn money,wake up in morning | go to work | get job,1,B,B,1,1
<built-in function id>,what has a subevent of get drunk and has a last subevent of swallow,drink alcohol | eat vegetables | attend rock concert,0,A,A,0,1
<built-in function id>,what has a last subevent of swallow and has a prerequisite of go to bar,meet interesting people | chew food | drink alcohol,2,C,C,2,1
<built-in function id>,what has a property of sticky and is usually located at supermarket,goods | tape | peanut butter,2,C,C,2,1
<built-in function id>,what is part of scotland and is part of south dakota,aberdeen | pierre | glasgow,0,B,B,1,0
<built-in function id>,what is part of scotland and is part of maryland,susquehanna | firth of clyde | aberdeen,2,A,A,0,0
<built-in function id>,what has a subevent of watch television and usually used for making clothes,entertaining | knitting | sewing,1,C,C,2,0
<built-in function id>,what may cause relax and usually used for making clothes,nylon | knitting | enjoying company of friends,1,B,B,1,1
<built-in function id>,what usually used for making clothes and has a subevent of watching tv,nylon | knitting | eating breakfast in bed,1,B,B,1,1
<built-in function id>,what is related to vertical and is related to honest,straight | trustworthy | steep,0,C,C,2,0
<built-in function id>,what has a subevent of shake hands and has a subevent of smiling,reach tentative agreement | entertaining | meeting people,2,A,A,0,0
<built-in function id>,what has a prerequisite of buy tickets and has a subevent of dance,hear music | see particular program | see band,2,B,B,1,0
<built-in function id>,what has a prerequisite of buy ticket and has a subevent of dance,enjoy film | see band | listen to music,1,B,B,1,1
<built-in function id>,what is related to group and is related to animal,tribe | pig | herd,2,C,C,2,1
<built-in function id>,what usually used for racing and usually used for play,toy car | toy marble | bicycle,0,C,C,2,0
<built-in function id>,what usually used for racing and is usually located at toy box,toy soldier | bicycle | toy car,2,C,C,2,1
<built-in function id>,what is usually located at bedroom and is part of person,birth control pill | brain | chest,2,B,B,1,0
<built-in function id>,what is part of person and usually used for storing things in,chest | right hand | pot,0,A,A,0,1
<built-in function id>,what usually used for shaving and has a property of sharp,having shower | razor | sword,1,B,B,1,1
<built-in function id>,what has a subevent of hear music and may cause sleep,having rest | attend classical concert | listening to radio,2,B,B,1,0
<built-in function id>,what usually used for relaxation and has a prerequisite of ears,listening to radio | hearing testimony | bath,0,C,C,2,0
<built-in function id>,what is related to positive and is related to destructive,destruction | affirmative | negative,2,B,B,1,0
<built-in function id>,what has a prerequisite of have money and is motivated by a goal of look good,groom | buy shirt | buy presents for others,1,B,B,1,1
<built-in function id>,what has a subevent of pay for and is motivated by a goal of look good,buy shirt | groom | buy house,0,B,B,1,0
<built-in function id>,what has a prerequisite of go to store and is motivated by a goal of look good,buy food | groom | buy shirt,2,C,C,2,1
<built-in function id>,what is related to warm and is related to congenial,compatible | friendly | hot,1,B,B,1,1
