index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
0,what usually used for fun and is usually located at toy store,exercising | salesperson | chess set,2,C),C,2,1
1,what may cause sleep and usually used for entertainment,having rest | telling story | watching television show,2,C),C,2,1
2,what has a prerequisite of go to movie and has a prerequisite of open book,see story | watch film | read,0,C,C,2,0
3,what has a prerequisite of go to movies and has a prerequisite of open book,read | see story | see movie,1,C,C,2,0
4,what usually used for relaxation and usually used for feeling good,becoming inebriated | helping | bean bag chair,0,C),C,2,0
5,what has a prerequisite of open first and has a prerequisite of open window,breathe fresh air | jump out of window | read letter,1,C),C,2,0
6,what has a subevent of learn and has a prerequisite of paying attention,attending lecture | do philosophy | enjoying film,0,A,A,0,1
7,what has a prerequisite of get out of bed and has a subevent of drive,test car | wake up in morning | go to work,2,C),C,2,1
8,what has a prerequisite of get out of bed and is motivated by a goal of earn money,wake up in morning | go to work | get job,1,B),B,1,1
9,what has a subevent of get drunk and has a last subevent of swallow,drink alcohol | eat vegetables | attend rock concert,0,A,A,0,1
10,what has a last subevent of swallow and has a prerequisite of go to bar,meet interesting people | chew food | drink alcohol,2,C),C,2,1
11,what has a property of sticky and is usually located at supermarket,goods | tape | peanut butter,2,C,C,2,1
12,what is part of scotland and is part of south dakota,aberdeen | pierre | glasgow,0,B),B,1,0
13,what is part of scotland and is part of maryland,susquehanna | firth of clyde | aberdeen,2,A,A,0,0
14,what has a subevent of watch television and usually used for making clothes,entertaining | knitting | sewing,1,C,C,2,0
15,what may cause relax and usually used for making clothes,nylon | knitting | enjoying company of friends,1,B,B,1,1
16,what usually used for making clothes and has a subevent of watching tv,nylon | knitting | eating breakfast in bed,1,B),B,1,1
17,what is related to vertical and is related to honest,straight | trustworthy | steep,0,C,C,2,0
18,what has a subevent of shake hands and has a subevent of smiling,reach tentative agreement | entertaining | meeting people,2,A,A,0,0
19,what has a prerequisite of buy tickets and has a subevent of dance,hear music | see particular program | see band,2,B),B,1,0
20,what has a prerequisite of buy ticket and has a subevent of dance,enjoy film | see band | listen to music,1,B),B,1,1
21,what is related to group and is related to animal,tribe | pig | herd,2,C,C,2,1
22,what usually used for racing and usually used for play,toy car | toy marble | bicycle,0,C,C,2,0
23,what usually used for racing and is usually located at toy box,toy soldier | bicycle | toy car,2,C),C,2,1
24,what is usually located at bedroom and is part of person,birth control pill | brain | chest,2,B),B,1,0
25,what is part of person and usually used for storing things in,chest | right hand | pot,0,A) chest,A,0,1
26,what usually used for shaving and has a property of sharp,having shower | razor | sword,1,B),B,1,1
27,what has a subevent of hear music and may cause sleep,having rest | attend classical concert | listening to radio,2,B),B,1,0
28,what usually used for relaxation and has a prerequisite of ears,listening to radio | hearing testimony | bath,0,C),C,2,0
29,what is related to positive and is related to destructive,destruction | affirmative | negative,2,B),B,1,0
30,what has a prerequisite of have money and is motivated by a goal of look good,groom | buy shirt | buy presents for others,1,B),B,1,1
31,what has a subevent of pay for and is motivated by a goal of look good,buy shirt | groom | buy house,0,B),B,1,0
32,what has a prerequisite of go to store and is motivated by a goal of look good,buy food | groom | buy shirt,2,C),C,2,1
33,what is related to warm and is related to congenial,compatible | friendly | hot,1,B) friendly,B,1,1
34,what is related to warm and is related to gracious,summer | friendly | refined,1,C),C,2,0
35,what may cause go to jail and has a subevent of tell lie,killing | committing perjury | tell story,1,B),B,1,1
36,what is motivated by a goal of get in shape and has a subevent of breathe deeply,do exercises | breathing fresh air | jog,0,A,A,0,1
37,what usually used for sitting and usually used for traveling,first class airplane seat | theater seat | air ticket,0,C,C,2,0
38,what has a prerequisite of train and has a subevent of get tired,getting physical activity | compete | run twenty six miles,2,A,A,0,0
39,what has a subevent of sit down and has a prerequisite of brush teeth,have rest | eat breakfast | kiss,1,B),B,1,1
40,what has a prerequisite of go to kitchen and has a prerequisite of brush teeth,eat breakfast | kiss | cook meal,0,A,A,0,1
41,what has a prerequisite of brush teeth and has a prerequisite of buy food,kiss | feed family | eat breakfast,2,C,C,2,1
42,what is usually located at human body and is related to bad,sin | organ | disease,2,C) disease,C,2,1
43,what has a prerequisite of eyes and may cause entertained,looking through telescope | going to play | seeing movie,2,C),C,2,1
44,what has a prerequisite of eyes and has a subevent of entertain,tell story | looking through telescope | seeing movie,2,C),C,2,1
45,what has a prerequisite of eyes and usually used for being entertained,looking through telescope | seeing movie | going to movie,1,B),B,1,1
46,what has four legs and has a property of fast,dogs | light speed | horses,2,A),A,0,0
47,what is usually located at countryside and is capable of jump high,horses | athlete | farms,0,A,A,0,1
48,what is usually located at countryside and has a property of fast,forest | light speed | horses,2,C),C,2,1
49,what has a property of fast and has manes,male lions | light speed | horses,2,B),B,1,0
50,what is related to world and has a property of round,globe | dartboards | web,0,A,A,0,1
51,what may cause relaxation and has a subevent of sing,hearing music | knitting | playing guitar,0,B),B,1,0
52,what has a subevent of sing and usually used for enjoying yourself,hearing music | playing guitar | copulating,0,A),A,0,1
53,what has a subevent of sing and usually used for distraction,puzzle | playing guitar | hearing music,2,C),C,2,1
54,what has a subevent of die and may cause wins,competing | fighting enemy | commit suicide,1,C) commit suicide,C,2,0
55,what has a subevent of death and may cause wins,fighting enemy | killing people | competing,0,C) competing,C,2,0
56,what is motivated by a goal of hear music and has a prerequisite of plug in,listen to radio | use computer | see band,0,A,A,0,1
57,what has a prerequisite of plug in and is motivated by a goal of entertains,listen to radio | use computer | see favorite show,0,C),C,2,0
58,what usually used for paint and is part of electric motor,rotor | canvas | brush,2,C,C,2,1
59,what has a subevent of get bored and has a prerequisite of buy one,read magazine | wait for | give gift,0,A,A,0,1
60,what has a subevent of learn and has a prerequisite of buy one,reading newspaper | give gift | read magazine,2,C,C,2,1
61,what has a subevent of compare prices and is usually located at town,shop | buying | bus stop,0,A),A,0,1
62,what usually used for having hair cut and usually used for sitting,hairdresser chair | side chair | going to get haircut,0,A,A,0,1
63,what is motivated by a goal of love and has a subevent of blush,lying | get married | meet girls,2,B),B,1,0
64,what has a subevent of listen to music and has a prerequisite of buy ticket,studying | attend classical concert | fly in airplane,1,B),B,1,1
65,what usually used for trying on clothes and is usually located at mall,fitting room | clothing store changing room | vending stand,1,A),A,0,0
66,what has a property of bad and is usually located at war,selling out | bullets | killing,2,B),B,1,0
67,what may cause guilt and is usually located at war,weapons | lying | killing,2,C) killing,C,2,1
68,what is usually located at war and has a property of wrong,everything know | killing | grenades,1,C,C,2,0
69,what has a subevent of commit crime and has a subevent of lie,commit perjury | killing | pretend,0,A,A,0,1
