index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
0,when did the band where Slobodan Kovačević played first form?,1962 | 1964 | 1961,0,C),C,2,0
1,when did the band where Park Woojin played first form?,2017 | 2018 | 2019,2,A) 2017,A,0,0
2,when did the band where Reine Fiske played first form?,2000 | 1999 | 2002,0,B),B,1,0
3,when did the band where Orelsan played first form?,2005 | 2008 | 2006,2,C) 2006,C,2,1
4,when did the band where John Belushi played first form?,1980 | 1978 | 1977,1,C) 1977,C,2,0
5,when did the band where Jascha Brodsky played first form?,1930 | 1931 | 1932,2,B) 1931,B,1,0
6,when did the band where Junior Cony played first form?,1977 | 1978 | 1980,1,A) 1977,A,0,0
7,when did the band where Charly Alberti played first form?,1949 | 1948 | 1950,2,B),B,1,0
8,when did the band where Phil May played first form?,1961 | 1963 | 1964,1,B) 1963,B,1,1
9,when did the band where Joey McIntyre played first form?,1984 | 1985 | 1986,0,A) 1984,A,0,1
10,when did the band where Phil Napoleon played first form?,1919 | 1917 | 1918,1,B) 1917,B,1,1
11,when did the band where Mark Walker played first form?,1972 | 1970 | 1969,1,C) 1969,C,2,0
12,when did the band where Harper Goff played first form?,1949 | 1948 | 1946,1,A) 1949,A,0,0
13,when did the band where Priscilla Paris played first form?,1951 | 1952 | 1953,0,A) 1951,A,0,1
14,when did the band where James McVey played first form?,2011 | 2010 | 2012,2,A) 2011,A,0,0
15,when did the band where Tony Mansfield played first form?,1977 | 1976 | 1979,0,A) 1977,A,0,1
16,when did the band where Owen played first form?,1998 | 1997 | 1999,2,B) 1997,B,1,0
17,when did the band where Ward Kimball played first form?,1946 | 1949 | 1948,2,C),C,2,1
18,when did the band where Glenn Hughes played first form?,2008 | 2007 | 2009,2,B) 2007,B,1,0
19,when did the band where David Gates played first form?,1969 | 1970 | 1968,2,C) 1968,C,2,1
20,"when did the band where Matt ""Skitz"" Sanders played first form?",2008 | 2005 | 2006,2,B) 2005,B,1,0
21,when did the band where Lee Dae-hwi played first form?,2019 | 2017 | 2020,0,B) 2017,B,1,0
